title,date,url
2025年下半年杨浦区环境信息公开声环境质量状况,2025.10.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20251020/492384.html
2025年9月杨浦区环境信息公开地表水质量状况,2025.10.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20251020/492381.html
2025年9月杨浦区环境信息公开污染源监督监测检查统计,2025.10.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20251020/492383.html
2025年9月杨浦区环境信息公开环境空气质量状况,2025.10.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20251020/492382.html
2025年7月杨浦区环境信息公开地表水质量状况,2025.09.09,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250909/489907.html
2025年7月杨浦区环境信息公开地表水质量状况,2025.09.09,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250909/489909.html
2025年7月杨浦区环境信息公开地表水质量状况,2025.09.09,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250909/489908.html
2025年6月杨浦区环境信息公开污染源监督监测检查统计,2025.07.30,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250730/486749.html
2025年6月杨浦区环境信息公开 环境空气质量状况,2025.07.30,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250730/486748.html
2025年6月杨浦区环境信息公开地表水质量状况,2025.07.30,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250730/486747.html
2025年上半年杨浦区环境信息公开声环境质量状况,2025.06.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250620/483267.html
2025年5月杨浦区环境信息公开污染源监督监测检查统计,2025.06.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250620/483265.html
2025年5月杨浦区环境信息公开环境空气质量状况,2025.06.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250620/483263.html
2025年5月杨浦区环境信息公开地表水质量状况,2025.06.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250620/483253.html
2025年4月杨浦区环境信息公开地表水质量状况,2025.05.19,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480879.html
2025年4月杨浦区环境信息公开污染源监督监测检查统计,2025.05.19,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480881.html
2025年4月杨浦区环境信息公开环境空气质量状况,2025.05.19,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480880.html
2025年3月杨浦区环境信息公开污染源监督监测检查统计,2025.04.16,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480878.html
2025年3月杨浦区环境信息公开地表水质量状况,2025.04.16,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480876.html
2025年3月杨浦区环境信息公开环境空气质量状况,2025.04.16,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480877.html
2025年2月杨浦区环境信息公开污染源监督监测检查统计,2025.03.14,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480866.html
2025年2月杨浦区环境信息公开环境空气质量状况,2025.03.14,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480865.html
2025年2月杨浦区环境信息公开地表水质量状况,2025.03.14,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480864.html
2025年1月杨浦区环境信息公开环境空气质量状况,2025.02.18,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480871.html
2025年1月杨浦区环境信息公开地表水质量状况,2025.02.18,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480870.html
2025年1月杨浦区环境信息公开污染源监督监测检查统计,2025.02.18,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480872.html
2024年12月杨浦区环境信息公开地表水质量状况,2025.01.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480867.html
2024年12月杨浦区环境信息公开污染源监督监测检查统计,2025.01.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480869.html
2024年12月杨浦区环境信息公开环境空气质量状况,2025.01.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20250519/480868.html
2024年11月杨浦区环境信息公开污染源监督监测检查统计,2024.12.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241220/470625.html
2024年11月杨浦区环境信息公开环境空气质量状况,2024.12.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241220/470624.html
2024年11月杨浦区环境信息公开地表水质量状况,2024.12.20,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241220/470623.html
2024年10月杨浦区环境信息公开 污染源监督监测检查统计,2024.11.15,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241115/468169.html
2024年10月杨浦区环境信息公开环境空气质量状况,2024.11.15,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241115/468168.html
2024年10月杨浦区环境信息公开地表水质量状况,2024.11.15,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241115/468167.html
2024年下半年杨浦区环境信息公开声环境质量状况,2024.10.18,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241018/466071.html
2024年9月杨浦区环境信息公开污染源监督监测检查统计,2024.10.18,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241018/466070.html
2024年9月杨浦区环境信息公开环境空气质量状况,2024.10.18,https://www.shyp.gov.cn/shypq/yqyw-wb-hbjzl-hjjc/20241018/466069.html
